CDT	ID	PT	WT	TID
2:6	4	1:6	1:0	0
2:6	2	1:4	1:0	0
2:8	3	1:5	1:0	0
2:8	8	1:23	1:0	0
2:9	6	1:10	1:0	0
2:15	5	1:9	1:0	0
2:21	7	1:12	1:0	0
3:5	16	2:22	1:0	0
3:8	9	2:2	1:0	0
3:9	15	2:20	1:0	0
3:10	12	2:12	1:0	0
3:12	13	2:14	1:0	0
3:17	10	2:3	1:0	0
3:23	11	2:5	1:0	0
4:3	14	2:17	1:0	0
4:17	17	3:17	1:0	0
7:1	18	6:3	1:0	0
8:8	20	7:10	1:0	0
8:14	19	7:3	1:0	0
9:11	21	8:10	1:0	0
10:1	24	9:16	1:0	0
10:4	22	9:2	1:0	0
10:7	23	9:7	1:0	0
-------------------------------------------
-------------------------------------------
Cargos: 24[N: 12,S: 6,V: 6]
Cargo Avg Wait = 1:0
Auto-promoted Cargos: 0%
Trucks: 8[N: 3,S: 3,V: 2]
